schedule,min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A
BldgEquip,BldgEquip,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,BldgEquip,BldgEquip,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,BldgEquip,BldgEquip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLDG_SWH_SCH,BLDG_SWH_SCH,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,BLDG_SWH_SCH,BLDG_SWH_SCH,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,BLDG_SWH_SCH,BLDG_SWH_SCH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BldgOcc,BldgOcc,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,BldgOcc,BldgOcc,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,BldgOcc,BldgOcc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HtgSetp,HtgSetp,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,HtgSetp,HtgSetp,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,HtgSetp,HtgSetp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ClgSetp,ClgSetp,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,ClgSetp,ClgSetp,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,ClgSetp,ClgSetp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BldgLight,BldgLight,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,BldgLight,BldgLight,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,BldgLight,BldgLight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
